autrement	autrement	adv.				false
avalanche	avalanche	n.	f.			false
avaler	avaler	v.				false
avance	avance	n.	f.			false
avancée	avancée	n.	f.			false
avancement	avancement	n.	m.			false
avancer	avancer	v.				false
avant	avant	n.	m.			false
avant	avant	prép.				false
avant	avant	adv.				false
avant-hier	avant-hier	adv.				false
avant-midi	avant-midi	n.	m.			false
avant-midi	avant-midi	n.	f.			false
avantage	avantage	n.	m.			false
avarice	avarice	n.	f.			false
avec	avec	prép.				false
avenir	avenir	n.	m.			false
aventure	aventure	n.	f.			false
aventurier	aventurier	n.	m.			false
avenue	avenue	n.	f.			false
averse	averse	n.	f.			false
avertir	avertir	v.				false
avertissement	avertissement	n.	m.			false
avertisseur	avertisseur	n.	m.			false
aveu	aveu	n.	m.			false
aveugle	aveugle	adj.				false
avidité	avidité	n.	f.			false
avion	avion	n.	m.			false
aviron	aviron	n.	m.			false
avis	avis	n.	m.			false
avocat	avocat	n.	m.			false
avoir	avoir	v.				false
avortement	avortement	n.	m.			false
avouer	avouer	v.				false
avril	avril	n.	m.			false
azur	azur	n.	m.			false
bactérie	bactérie	n.	f.			false
badaud	badaud	n.	m.			false
bagage	bagage	n.	m.			false
bagages	bagages	n.	m.	pl.		false
bagarre	bagarre	n.	f.			false
bague	bague	n.	f.			false
baie	baie	n.	f.			false
baignade	baignade	n.	f.			false
baigner	baigner	v.				false
bâillement	bâillement	n.	m.			false
bain	bain	n.	m.			false
baiser	baiser	n.	m.			false
baisse	baisse	n.	f.			false
baisser	baisser	v.				false
bal	bal	n.	m.			false
balade	balade	n.	f.			false
balance	balance	n.	f.			false
balcon	balcon	n.	m.			false
baleine	baleine	n.	f.			false
balle	balle	n.	f.			false
ballerine	ballerine	n.	f.			false
ballet	ballet	n.	m.			false
ballon	ballon	n.	m.			false
banalité	banalité	n.	f.			false
banane	banane	n.	f.			false
banc	banc	n.	m.			false
bandage	bandage	n.	m.			false
bande	bande	n.	f.			false
bandit	bandit	n.	m.			false
banlieue	banlieue	n.	f.			false
banque	banque	n.	f.			false
banquet	banquet	n.	m.			false
banquise	banquise	n.	f.			false
bar	bar	n.	m.			false
