supraconduction	sypʀɑkɔ̃dyksjɔ̃	supraconduction.ad
mourvèdre	muʀvɛdʀ	mourvèdre.ad
mousmé	musme	mousmé.ad
mousmée	musme	mousmé.ad
mousquet	muskɛ	mousquet.ad
mousquetaire	muskətɛʀ	mousquetaire.ad
mousqueterie	muskətʀi	mousqueterie.ad
mousquèterie	muskətʀi	mousqueterie.ad
mousqueterie	muskətʀi	mousqueterie.ad
mousqueton	muskətɔ̃	mousqueton.ad
moussaillon	musɑjɔ̃	moussaillon.ad
moussaka	musakɑ	moussaka.ad
moussant	musɑ̃	moussant.ad
moussante	musɑ̃t	moussant.ad
mousse	mus	mousse_1.ad
mousse	mus	mousse_2.ad
mousse	mus	mousse_3.ad
mousseline	muslin	mousseline.ad
mousser	muse	mousser.ad
mousseron	musʀɔ̃	mousseron.ad
mousseux	musø	mousseux.ad
mousseuse	musøz	mousseux.ad
moussoir	muswɑʀ	moussoir.ad
mousson	musɔ̃	mousson.ad
moussu	musy	moussu.ad
moussue	musy	moussu.ad
moustache	mustaʃ	moustache.ad
moustachu	mustaʃy	moustachu.ad
moustachue	mustaʃy	moustachu.ad
moustiquaire	mustikɛʀ	moustiquaire.ad
moustique	mustik	moustique.ad
moustérien	musteʀjɛ̃	moustérien.ad
moustérienne	musteʀjɛn	moustérien.ad
moutard	mutɑʀ	moutard.ad
moutarde	mutaʀd	moutarde.ad
moutarder	mutaʀde	moutarder.ad
moutardier	mutaʀdje	moutardier.ad
mouton	mutɔ̃	mouton.ad
moutonnant	mutɔnɑ̃	moutonnant.ad
moutonnante	mutɔnɑ̃t	moutonnant.ad
moutonnement	mutɔnmɑ̃	moutonnement.ad
moutonner	mutɔne	moutonner.ad
moutonnerie	mutɔnʀi	moutonnerie.ad
moutonneux	mutɔnø	moutonneux.ad
moutonneuse	mutɔnøz	moutonneux.ad
moutonnier	mutɔnje	moutonnier.ad
moutonnière	mutɔnjɛʀ	moutonnier.ad
moutonné	mutɔne	moutonné.ad
moutonnée	mutɔne	moutonné.ad
mouture	mutyʀ	mouture.ad
mouvance	muvɑ̃s	mouvance.ad
mouvant	muvɑ̃	mouvant.ad
mouvante	muvɑ̃t	mouvant.ad
mouvement	muvmɑ̃	mouvement.ad
mouvementer	muvmɑ̃te	mouvementer.ad
mouvementé	muvmɑ̃te	mouvementé.ad
mouvementée	muvmɑ̃te	mouvementé.ad
mouvoir	muvwɑʀ	mouvoir.ad
moviola	mɔvjɔlɑ	moviola.ad
moxa	mɔksɑ	moxa.ad
moyac	mɔjak	moyac.ad
moyen-courrier	mwajɛ̃kuʀje	moyen-courrier.ad
moyen-oriental	mwajɛnɔʀjɑ̃tal	moyen-oriental.ad
moyen-orientale	mwajɛnɔʀjɑ̃tal	moyen-oriental.ad
golden russet	goldœnʀɔsɛt	Golden_Russet.ad
moyen	mwajɛ̃	moyen_1.ad
moyenne	mwajɛn	moyen_1.ad
moyen	mwajɛ̃	moyen_2.ad
granny smith	gʀanismit	Granny_Smith.ad
moyennant	mwajɛnɑ̃	moyennant.ad
moyenne	mwajɛn	moyenne.ad
moyennement	mwajɛnmɑ̃	moyennement.ad
moyenner	mwajɛne	moyenner.ad
moyenâgeux	mwajɛnɑʒø	moyenâgeux.ad
moyenâgeuse	mwajɛnɑʒøz	moyenâgeux.ad
moyeu	mwajø	moyeu.ad
mozabite	mɔzabit	mozabite_ou_mzabite.ad
mzabite	mzabit	mozabite_ou_mzabite.ad
mozarabe	mɔzaʀab	mozarabe.ad
mozartien	mɔzaʀsjɛ̃	mozartien.ad
mozartienne	mɔzaʀsjɛn	mozartien.ad
mozzarella	mɔdzaʀɛlɑ	mozzarella.ad
moïse	mɔiz	moïse.ad
moût	mu	moût.ad
mout	mu	moût.ad
mu	my	mu.ad
mucilage	mysilaʒ	mucilage.ad
mucilagineux	mysilaʒinø	mucilagineux.ad
mucilagineuse	mysilaʒinøz	mucilagineux.ad
mucosité	mykozite	mucosité.ad
mucoviscidose	mykovisidoz	mucoviscidose.ad
mucron	mykʀɔ̃	mucron.ad
mucroné	mykʀɔne	mucroné.ad
mucronée	mykʀɔne	mucroné.ad
mucus	mykys	mucus.ad
mudéjar	mydeʒɑʀ	mudéjar.ad
mue	my	mue.ad
muer	mɥe	muer.ad
muesli	mysli	muesli_ou_musli.ad
musli	mysli	muesli_ou_musli.ad
muet	mɥɛ	muet.ad
muette	mɥɛt	muet.ad
muet	myɛ	muet.ad
muette	myɛt	muet.ad
muezzin	mɥɛzɛ̃	muezzin.ad
muffin	mɔfœn	muffin.ad
mufle	myfl	mufle.ad
muflerie	myfləʀi	muflerie.ad
muflier	myflie	muflier.ad
mufti	myfti	mufti.ad
mufti	myfti	mufti.ad
muge	myʒ	muge.ad
mugir	myʒiʀ	mugir.ad
mugissant	myʒisɑ̃	mugissant.ad
mugissante	myʒisɑ̃t	mugissant.ad
mugissement	myʒismɑ̃	mugissement.ad
muguet	mygɛ	muguet.ad
muid	mɥi	muid.ad
mulard	mylɑʀ	mulard.ad
mularde	mylaʀd	mulard.ad
mulassier	mylasje	mulassier.ad
mulassière	mylasjɛʀ	mulassier.ad
mule	myl	mule_1.ad
mule	myl	mule_2.ad
mulet	mylɛ	mulet_1.ad
mulet	mylɛ	mulet_2.ad
muleta	myletɑ	muleta_ou_muléta.ad
muléta	myletɑ	muleta_ou_muléta.ad
muléta	myletɑ	muleta_ou_muléta.ad
muletier	mylə̠tje	muletier.ad
muletière	mylə̠tjɛʀ	muletier.ad
mulon	mylɔ̃	mulon.ad
mulot	mylo	mulot.ad
mulsion	mylsjɔ̃	mulsion.ad
multi-	mylti-	multi-.ad
multibroche	myltibʀɔʃ	multibroche.ad
multicarte	myltikaʀt	multicarte.ad
multicellulaire	myltisɛlylɛʀ	multicellulaire.ad
multicolore	myltikɔlɔʀ	multicolore.ad
multiconducteur	myltikɔ̃dyktœʀ	multiconducteur.ad
multiconductrice	myltikɔ̃dyktʀis	multiconducteur.ad
multiconfessionnel	myltikɔ̃fɛsjɔnɛl	multiconfessionnel.ad
multiconfessionnelle	myltikɔ̃fɛsjɔnɛl	multiconfessionnel.ad
multicoque	myltikɔk	multicoque.ad
multicouche	myltikuʃ	multicouche.ad
multicritère	myltikʀitɛʀ	multicritère.ad
multiculturalisme	myltikyltyʀalism	multiculturalisme.ad
multiculturel	myltikyltyʀɛl	multiculturel.ad
multiculturelle	myltikyltyʀɛl	multiculturel.ad
multicâble	myltikɑbl	multicâble.ad
multicéréale	myltiseʀeal	multicéréale.ad
multidimensionnel	myltidimɑ̃sjɔnɛl	multidimensionnel.ad
multidimensionnelle	myltidimɑ̃sjɔnɛl	multidimensionnel.ad
multidirectionnel	myltidiʀɛksjɔnɛl	multidirectionnel.ad
multidirectionnelle	myltidiʀɛksjɔnɛl	multidirectionnel.ad
multidisciplinaire	myltidisiplinɛʀ	multidisciplinaire.ad
multidisciplinarité	myltidisiplinaʀite	multidisciplinarité.ad
multiethnicité	myltiɛtnisite	multiethnicité.ad
multiethnique	myltiɛtnik	multiethnique.ad
multifactoriel	myltifaktɔʀjɛl	multifactoriel.ad
multifactorielle	myltifaktɔʀjɛl	multifactoriel.ad
multifamilial	myltifamiljal	multifamilial.ad
multifamiliale	myltifamiljal	multifamilial.ad
multifenêtrage	myltifə̠nɛtʀaʒ	multifenêtrage.ad
multifilaire	myltifilɛʀ	multifilaire.ad
multiflore	myltiflɔʀ	multiflore.ad
multifonction	myltifɔ̃ksjɔ̃	multifonction_ou_multifonctions.ad
multifonctions	myltifɔ̃ksjɔ̃	multifonction_ou_multifonctions.ad
multifonctionnalité	myltifɔ̃ksjɔnalite	multifonctionnalité.ad
multifonctionnel	myltifɔ̃ksjɔnɛl	multifonctionnel.ad
multifonctionnelle	myltifɔ̃ksjɔnɛl	multifonctionnel.ad
multiforme	myltifɔʀm	multiforme.ad
multigrade	myltigʀad	multigrade.ad
multigrain	myltigʀɛ̃	multigrain.ad
multilatéral	myltilateʀal	multilatéral.ad
multilatérale	myltilateʀal	multilatéral.ad
multilatéralisme	myltilateʀalism	multilatéralisme.ad
multilingue	myltilɛ̃g	multilingue.ad
multilinguisme	myltilɛ̃gɥism	multilinguisme.ad
multilinéaire	myltilineɛʀ	multilinéaire.ad
multimilliardaire	myltimiljaʀdɛʀ	multimilliardaire.ad
multimillionnaire	myltimiljɔnɛʀ	multimillionnaire.ad
multimodal	myltimɔdal	multimodal.ad
multimodale	myltimɔdal	multimodal.ad
multimode	myltimɔd	multimode.ad
multimètre	myltimɛ:tʀ	multimètre.ad
multimédia	myltimedjɑ	multimédia.ad
multinational	myltinasjɔnal	multinational.ad
multinationale	myltinasjɔnal	multinational.ad
multinorme	myltinɔʀm	multinorme.ad
multipare	myltipɑʀ	multipare.ad
multipartisme	myltipaʀtism	multipartisme.ad
multipartite	myltipaʀtit	multipartite.ad
multiple	myltipl	multiple.ad
multiplet	myltiplɛ	multiplet.ad
multiplex	myltiplɛks	multiplex.ad
multiplexage	myltiplɛksaʒ	multiplexage.ad
multiplexe	myltiplɛks	multiplexe.ad
multiplexeur	myltiplɛksœʀ	multiplexeur.ad
multipliable	myltipliabl	multipliable.ad
multiplicande	myltiplikɑ̃d	multiplicande.ad
multiplicateur	myltiplikatœʀ	multiplicateur.ad
multiplicatrice	myltiplikatʀis	multiplicateur.ad
multiplicatif	myltiplikatif	multiplicatif.ad
multiplicative	myltiplikativ	multiplicatif.ad
multiplication	myltiplikasjɔ̃	multiplication.ad
multiplicité	myltiplisite	multiplicité.ad
multiplier	myltiplie	multiplier.ad
multipoint	myltipwɛ̃	multipoint_ou_multipoints.ad
multipoints	myltipwɛ̃	multipoint_ou_multipoints.ad
multipolaire	myltipɔlɛʀ	multipolaire.ad
multiprise	myltipʀiz	multiprise.ad
multiprocesseur	myltipʀɔsɛsœʀ	multiprocesseur.ad
multipropriété	myltipʀɔpʀiete	multipropriété.ad
multiracial	myltiʀasjal	multiracial.ad
multiraciale	myltiʀasjal	multiracial.ad
multirisque	myltiʀisk	multirisque.ad
multirécidiviste	myltiʀesidivist	multirécidiviste.ad
multirésistant	myltiʀezistɑ̃	multirésistant.ad
multirésistante	myltiʀezistɑ̃t	multirésistant.ad
multisalle	myltisal	multisalle_ou_multisalles.ad
multisalles	myltisal	multisalle_ou_multisalles.ad
multisectoriel	myltisɛktɔʀjɛl	multisectoriel.ad
multisectorielle	myltisɛktɔʀjɛl	multisectoriel.ad
multiservice	myltisɛʀvis	multiservice.ad
multistandard	myltistɑ̃dɑʀ	multistandard.ad
multitraitement	myltitʀɛtmɑ̃	multitraitement.ad
multitubulaire	myltitybylɛʀ	multitubulaire.ad
multitude	myltityd	multitude.ad
multitâche	myltitɑʃ	multitâche.ad
multiusage	myltiyzaʒ	multiusage.ad
multivarié	myltivaʀje	multivarié.ad
multivariée	myltivaʀje	multivarié.ad
mulâtre	mylɑtʀ	mulâtre.ad
mungo	muŋgo	mungo.ad
munichois	mynikwa	munichois.ad
munichoise	mynikwɑz	munichois.ad
municipal	mynisipal	municipal.ad
municipale	mynisipal	municipal.ad
municipalisation	mynisipalizasjɔ̃	municipalisation.ad
municipaliser	mynisipalize	municipaliser.ad
municipalité	mynisipalite	municipalité.ad
municipe	mynisip	municipe.ad
munificence	mynifisɑ̃s	munificence.ad
munificent	mynifisɑ̃	munificent.ad
munificente	mynifisɑ̃t	munificent.ad
munir	myniʀ	munir.ad
munition	mynisjɔ̃	munition.ad
munitionnaire	mynisjɔnɛʀ	munitionnaire.ad
munster	mynstɛʀ	munster.ad
muon	myɔ̃	muon.ad
muqueuse	mykøz	muqueuse.ad
muqueux	mykø	muqueux.ad
muqueuse	mykøz	muqueux.ad
mur	myʀ	mur.ad
murage	myʀaʒ	murage.ad
muraille	myʀɑj	muraille.ad
mural	myʀal	mural.ad
murale	myʀal	mural.ad
muraliste	myʀalist	muraliste.ad
murer	myʀe	murer.ad
muret	myʀɛ	muret_ou_murette.ad
murette	myʀɛt	muret_ou_murette.ad
murex	myʀɛks	murex.ad
muriatique	myʀjatik	muriatique.ad
muridé	myʀide	muridé.ad
murmel	myʀmɛl	murmel.ad
murmure	myʀmyʀ	murmure.ad
murmurer	myʀmyʀe	murmurer.ad
murène	myʀɛn	murène.ad
musagète	myzaʒɛt	musagète.ad
musaraigne	myzaʀɛɲ	musaraigne.ad
musard	myzɑʀ	musard.ad
musarde	myzaʀd	musard.ad
musarder	myzaʀde	musarder.ad
musardise	myzaʀdiz	musardise.ad
musc	mysk	musc.ad
muscade	myskad	muscade.ad
muscadet	myskadɛ	muscadet.ad
muscadier	myskadje	muscadier.ad
muscadine	myskadin	muscadine.ad
muscardin	myskaʀdɛ̃	muscardin.ad
muscardine	myskaʀdin	muscardine.ad
muscari	myskaʀi	muscari.ad
muscarine	myskaʀin	muscarine.ad
muscat	myskɑ	muscat.ad
muscate	myskat	muscat.ad
muscidé	myside	muscidé.ad
muscinal	mysinal	muscinal.ad
muscinale	mysinal	muscinal.ad
muscinée	mysine	muscinée.ad
muscle	myskl	muscle.ad
muscler	myskle	muscler.ad
musclé	myskle	musclé.ad
musclée	myskle	musclé.ad
muscovite	myskɔvit	muscovite.ad
musculaire	myskylɛʀ	musculaire.ad
musculation	myskylasjɔ̃	musculation.ad
musculature	myskylatyʀ	musculature.ad
musculeux	myskylø	musculeux.ad
musculeuse	myskyløz	musculeux.ad
muse	myz	muse.ad
museau	myzo	museau.ad
museler	myzle	museler.ad
muselet	myzlɛ	muselet.ad
muselière	myzəljɛʀ	muselière.ad
musellement	myzɛlmɑ̃	musellement.ad
musèlement	myzɛlmɑ̃	musellement.ad
muser	myze	muser.ad
muserolle	myzʀɔl	muserolle.ad
muserole	myzʀɔl	muserolle.ad
musette	myzɛt	musette.ad
music-hall	myzikɑl	music-hall.ad
musical	myzikal	musical.ad
musicale	myzikal	musical.ad
musicalement	myzikalmɑ̃	musicalement.ad
musicalité	myzikalite	musicalité.ad
musicien	myzisjɛ̃	musicien.ad
musicienne	myzisjɛn	musicien.ad
musico-	myziko-	musico-.ad
musicographe	myzikɔgʀaf	musicographe.ad
musicographie	myzikɔgʀafi	musicographie.ad
musicologie	myzikɔlɔʒi	musicologie.ad
musicologique	myzikɔlɔʒik	musicologique.ad
musicologue	myzikɔlɔg	musicologue.ad
musicothérapie	myzikoteʀapi	musicothérapie.ad
musique	myzik	musique.ad
musiquer	myzike	musiquer.ad
musiquette	myzikɛt	musiquette.ad
muskeg	mɔskɛg	muskeg.ad
musoir	myzwɑʀ	musoir.ad
musqué	myske	musqué.ad
musquée	myske	musqué.ad
mussif	mysif	mussif.ad
mussitation	mysitasjɔ̃	mussitation.ad
mustang	mɔstaŋ	mustang.ad
mustélidé	mystelide	mustélidé.ad
musulman	myzylmɑ̃	musulman.ad
musulmane	myzylman	musulman.ad
muséal	myzeal	muséal.ad
muséale	myzeal	muséal.ad
musée	myze	musée.ad
muséographie	myzeɔgʀafi	muséographie.ad
muséologie	myzeɔlɔʒi	muséologie.ad
muséologique	myzeɔlɔʒik	muséologique.ad
muséologue	myzeɔlɔg	muséologue.ad
muséum	myzeɔm	muséum.ad
mutabilité	mytabilite	mutabilité.ad
mutable	mytabl	mutable.ad
mutage	mytaʒ	mutage.ad
mutagenèse	mytaʒə̠nɛz	mutagenèse.ad
mutagène	mytaʒɛ:n	mutagène.ad
mutant	mytɑ̃	mutant.ad
mutante	mytɑ̃t	mutant.ad
mutation	mytasjɔ̃	mutation.ad
mutationnisme	mytasjɔnism	mutationnisme.ad
mutationniste	mytasjɔnist	mutationniste.ad
mutatis mutandis	mytatismytandis	mutatis_mutandis.ad
muter	myte	muter_1.ad
muter	myte	muter_2.ad
mutilant	mytilɑ̃	mutilant.ad
mutilante	mytilɑ̃t	mutilant.ad
mutilateur	mytilatœʀ	mutilateur.ad
mutilatrice	mytilatʀis	mutilateur.ad
mutilation	mytilasjɔ̃	mutilation.ad
mutiler	mytile	mutiler.ad
mutilé	mytile	mutilé.ad
mutilée	mytile	mutilé.ad
mutin	mytɛ̃	mutin.ad
mutine	mytin	mutin.ad
mutinerie	mytinʀi	mutinerie.ad
mutiné	mytine	mutiné.ad
mutinée	mytine	mutiné.ad
mutisme	mytism	mutisme.ad
mutité	mytite	mutité.ad
mutualiser	mytɥalize	mutualiser.ad
mutualisme	mytɥalism	mutualisme.ad
mutualiste	mytɥalist	mutualiste.ad
mutualité	mytɥalite	mutualité.ad
mutuel	mytɥɛl	mutuel.ad
mutuelle	mytɥɛl	mutuel.ad
mutuellement	mytɥɛlmɑ̃	mutuellement.ad
mutuelliste	mytɥɛlist	mutuelliste.ad
mutule	mytyl	mutule.ad
my-	mi-	my-_ou_myo-.ad
myo-	mio-	my-_ou_myo-.ad
myalgie	mialʒi	myalgie.ad
myasthénie	mjasteni	myasthénie.ad
myc-	mik-	myc-_ou_myco-_ou_-mycète.ad
myco-	miko-	myc-_ou_myco-_ou_-mycète.ad
-mycète	-misɛt	myc-_ou_myco-_ou_-mycète.ad
mycobactérie	mikobakteʀi	mycobactérie.ad
mycoderme	mikɔdɛʀm	mycoderme.ad
mycologie	mikɔlɔʒi	mycologie.ad
mycologique	mikɔlɔʒik	mycologique.ad
mycologue	mikɔlɔg	mycologue.ad
mycophage	mikɔfaʒ	mycophage.ad
mycoplasme	mikɔplasm	mycoplasme.ad
mycorhize	mikɔʀiz	mycorhize.ad
mycose	mikoz	mycose.ad
mycosique	mikɔzik	mycosique.ad
mycélium	miseljɔm	mycélium.ad
mycénien	misenjɛ̃	mycénien.ad
mycénienne	misenjɛn	mycénien.ad
mydriase	midʀiɑz	mydriase.ad
mydriatique	midʀiatik	mydriatique.ad
mye	mi	mye.ad
mygale	migal	mygale.ad
myiase	mijɑz	myiase.ad
myocarde	mjɔkaʀd	myocarde.ad
myocardiopathie	mjokaʀdjɔpati	myocardiopathie.ad
myocardite	mjɔkaʀdit	myocardite.ad
myofibrille	miofibʀij	myofibrille.ad
myoglobine	mioglɔbin	myoglobine.ad
myogramme	mjɔgʀam	myogramme.ad
myographe	mjɔgʀaf	myographe.ad
myologie	mjɔlɔʒi	myologie.ad
myologique	mjɔlɔʒik	myologique.ad
myome	mjom	myome.ad
myomectomie	mjɔmɛktɔmi	myomectomie.ad
myopathie	mjɔpati	myopathie.ad
myope	miɔp	myope.ad
myopie	miɔpi	myopie.ad
myosine	mjozin	myosine.ad
myosis	mjozis	myosis.ad
myosite	mjozit	myosite.ad
myosotis	mjɔzɔtis	myosotis.ad
myriade	miʀjad	myriade.ad
myriapode	miʀjapɔd	myriapode.ad
myriophylle	miʀjɔfil	myriophylle.ad
myrmidon	miʀmidɔ̃	myrmidon_ou_mirmidon.ad
mirmidon	miʀmidɔ̃	myrmidon_ou_mirmidon.ad
mirmidon	miʀmidɔ̃	myrmidon_ou_mirmidon.ad
myrmécophile	miʀmekɔfil	myrmécophile.ad
myrosine	miʀozin	myrosine.ad
myrrhe	miʀ	myrrhe.ad
myrte	miʀt	myrte.ad
myrtiforme	miʀtifɔʀm	myrtiforme.ad
myrtille	miʀtij	myrtille.ad
mysis	mizis	mysis.ad
mystagogie	mistagɔʒi	mystagogie.ad
mysticisme	mistisism	mysticisme.ad
mysticète	mistisɛt	mysticète.ad
mystifiant	mistifjɑ̃	mystifiant.ad
mystifiante	mistifjɑ̃t	mystifiant.ad
mystificateur	mistifikatœʀ	mystificateur.ad
mystificatrice	mistifikatʀis	mystificateur.ad
mystification	mistifikasjɔ̃	mystification.ad
mystifier	mistifje	mystifier.ad
mystique	mistik	mystique.ad
mystère	mistɛʀ	mystère_1.ad
mystère	mistɛʀ	mystère_2.ad
mystérieusement	misteʀjøzmɑ̃	mystérieusement.ad
mystérieux	misteʀjø	mystérieux.ad
mystérieuse	misteʀjøz	mystérieux.ad
mythe	mit	mythe.ad
mythification	mitifikasjɔ̃	mythification.ad
mythifier	mitifje	mythifier.ad
mythique	mitik	mythique.ad
mytho-	mito-	mytho-.ad
mythologie	mitɔlɔʒi	mythologie.ad
mythologique	mitɔlɔʒik	mythologique.ad
mythologue	mitɔlɔg	mythologue.ad
mythomane	mitɔman	mythomane.ad
mythomaniaque	mitɔmanjak	mythomaniaque.ad
mythomanie	mitɔmani	mythomanie.ad
mytilicole	mitilikɔl	mytilicole.ad
mytiliculteur	mitilikyltœʀ	mytiliculteur.ad
mytilicultrice	mitilikyltʀis	mytiliculteur.ad
mytiliculture	mitilikyltyʀ	mytiliculture.ad
mytilotoxine	mitilotɔksin	mytilotoxine.ad
myxine	miksin	myxine.ad
myxœdème	miksedɛm	myxoedème.ad
myxoedème	miksedɛm	myxoedème.ad
myxomatose	miksomatoz	myxomatose.ad
myxomycète	miksɔmisɛt	myxomycète.ad
myéline	mjelin	myéline.ad
myélite	mjelit	myélite.ad
myéloblaste	mjelɔblast	myéloblaste.ad
myélocyte	mjelɔsit	myélocyte.ad
myélogramme	mjelɔgʀam	myélogramme.ad
myélographie	mjelɔgʀafi	myélographie.ad
myélome	mjelom	myélome.ad
myélopathie	mjelɔpati	myélopathie.ad
myéloïde	mjelɔid	myéloïde.ad
mâche	mɑʃ	mâche.ad
mâchefer	mɑʃfɛʀ	mâchefer.ad
mâcher	mɑʃe	mâcher.ad
mâcheur	mɑʃœʀ	mâcheur.ad
mâcheuse	mɑʃøz	mâcheur.ad
mâchicoulis	mɑʃikuli	mâchicoulis.ad
mâchoire	mɑʃwɑʀ	mâchoire.ad
mâchonnement	mɑʃɔnmɑ̃	mâchonnement.ad
mâchonner	mɑʃɔne	mâchonner.ad
mâchouiller	mɑʃuje	mâchouiller.ad
mâchure	mɑʃyʀ	mâchure.ad
mâchurer	mɑʃyʀe	mâchurer.ad
mâcon	mɑkɔ̃	mâcon.ad
mâle	mɑl	mâle.ad
mânes	mɑn	mânes.ad
mât	mɑ	mât.ad
mâter	mɑte	mâter.ad
mâtereau	mɑtʀo	mâtereau.ad
mâtin	mɑtɛ̃	mâtin.ad
mâtine	mɑtin	mâtin.ad
mâtiner	mɑtine	mâtiner.ad
mâtiné	mɑtine	mâtiné.ad
mâtinée	mɑtine	mâtiné.ad
mâture	mɑtyʀ	mâture.ad
mèche	mɛʃ	mèche_1.ad
mèche	mɛʃ	mèche_2.ad
mède	mɛd	mède.ad
mère-grand	mɛʀgʀɑ̃	mère-grand.ad
mère	mɛʀ	mère.ad
mètre	mɛ:tʀ	mètre.ad
mé-	me-	mé-.ad
méandre	meɑ̃dʀ	méandre.ad
méandreux	meɑ̃dʀø	méandreux.ad
méandreuse	meɑ̃dʀøz	méandreux.ad
méandrine	meɑ̃dʀin	méandrine.ad
méat	meɑ	méat.ad
mécanicien	mekanisjɛ̃	mécanicien.ad
mécanicienne	mekanisjɛn	mécanicien.ad
mécanique	mekanik	mécanique.ad
mécaniquement	mekanikmɑ̃	mécaniquement.ad
mécanisation	mekanizasjɔ̃	mécanisation.ad
mécaniser	mekanize	mécaniser.ad
mécanisme	mekanism	mécanisme.ad
mécaniste	mekanist	mécaniste.ad
mécanisé	mekanize	mécanisé.ad
mécanisée	mekanize	mécanisé.ad
mécanographe	mekanɔgʀaf	mécanographe.ad
mécanographie	mekanɔgʀafi	mécanographie.ad
mécanographique	mekanɔgʀafik	mécanographique.ad
mécanothérapie	mekanoteʀapi	mécanothérapie.ad
mécatronique	mekatʀɔnik	mécatronique.ad
méchage	mɛʃaʒ	méchage.ad
méchamment	meʃamɑ̃	méchamment.ad
méchanceté	meʃɑ̃ste	méchanceté.ad
méchant	meʃɑ̃	méchant.ad
méchante	meʃɑ̃t	méchant.ad
mécher	mɛʃe	mécher.ad
mécheux	meʃø	mécheux.ad
mécheuse	meʃøz	mécheux.ad
méchoui	meʃwi	méchoui.ad
mécompte	mekɔ̃t	mécompte.ad
méconium	mekɔnjɔm	méconium.ad
méconnaissable	mekɔnɛsabl	méconnaissable.ad
méconnaissance	mekɔnɛsɑ̃s	méconnaissance.ad
méconnaître	mekɔnɛ:tʀ	méconnaître.ad
méconnaitre	mekɔnɛ:tʀ	méconnaître.ad
méconnu	mekɔny	méconnu.ad
méconnue	mekɔny	méconnu.ad
mécontent	mekɔ̃tɑ̃	mécontent.ad
mécontente	mekɔ̃tɑ̃t	mécontent.ad
mécontentement	mekɔ̃tɑ̃tmɑ̃	mécontentement.ad
mécontenter	mekɔ̃tɑ̃te	mécontenter.ad
mécréant	mekʀeɑ̃	mécréant.ad
mécréante	mekʀeɑ̃t	mécréant.ad
mécène	mesɛn	mécène.ad
mécénat	mesenɑ	mécénat.ad
médaille	medaj	médaille.ad
médailler	medaje	médailler.ad
médailleur	medajœʀ	médailleur.ad
médaillier	medaje	médaillier.ad
médailler	medaje	médaillier.ad
médailliste	medajist	médailliste.ad
médaillon	medajɔ̃	médaillon.ad
médaillé	medaje	médaillé.ad
médaillée	medaje	médaillé.ad
médecin	metsɛ̃	médecin.ad
médecine	metsin	médecine.ad
média	medjɑ	média.ad
médian	medjɑ̃	médian.ad
médiane	medjan	médian.ad
médiante	medjɑ̃t	médiante.ad
médiascope	medjaskɔp	médiascope.ad
médiascopie	medjaskɔpi	médiascopie.ad
médiastin	medjastɛ̃	médiastin.ad
médiat	medjɑ	médiat.ad
médiate	medjat	médiat.ad
médiateur	medjatœʀ	médiateur.ad
médiatrice	medjatʀis	médiateur.ad
médiathèque	medjatɛk	médiathèque.ad
médiathécaire	medjatekɛʀ	médiathécaire.ad
médiation	medjasjɔ̃	médiation.ad
médiatique	medjatik	médiatique.ad
médiatisation	medjatizasjɔ̃	médiatisation_1.ad
médiatisation	medjatizasjɔ̃	médiatisation_2.ad
médiatiser	medjatize	médiatiser.ad
médiator	medjatɔʀ	médiator.ad
médiatrice	medjatʀis	médiatrice.ad
médical	medikal	médical.ad
médicale	medikal	médical.ad
médicalement	medikalmɑ̃	médicalement.ad
médicalisation	medikalizasjɔ̃	médicalisation.ad
médicaliser	medikalize	médicaliser.ad
médicament	medikamɑ̃	médicament.ad
médicamenteux	medikamɑ̃tø	médicamenteux.ad
médicamenteuse	medikamɑ̃tøz	médicamenteux.ad
médicamenté	medikamɑ̃te	médicamenté.ad
médicamentée	medikamɑ̃te	médicamenté.ad
médicastre	medikastʀ	médicastre.ad
médication	medikasjɔ̃	médication.ad
médicinal	medisinal	médicinal.ad
médicinale	medisinal	médicinal.ad
médico-	mediko-	médico-.ad
médicochirurgical	medikoʃiʀyʀʒikal	médicochirurgical.ad
médicochirurgicale	medikoʃiʀyʀʒikal	médicochirurgical.ad
médicolégal	medikolegal	médicolégal.ad
médicolégale	medikolegal	médicolégal.ad
médicosocial	medikosɔsjal	médicosocial.ad
médicosociale	medikosɔsjal	médicosocial.ad
médina	medinɑ	médina.ad
médiocratie	medjɔkʀasi	médiocratie.ad
médiocre	medjɔkʀ	médiocre.ad
médiocrement	medjɔkʀəmɑ̃	médiocrement.ad
médiocrité	medjɔkʀite	médiocrité.ad
médique	medik	médique.ad
médire	mediʀ	médire.ad
médisance	medizɑ̃s	médisance.ad
médisant	medizɑ̃	médisant.ad
médisante	medizɑ̃t	médisant.ad
méditatif	meditatif	méditatif.ad
méditative	meditativ	méditatif.ad
méditation	meditasjɔ̃	méditation.ad
méditer	medite	méditer.ad
méditerranéen	meditɛʀaneɛ̃	méditerranéen.ad
méditerranéenne	meditɛʀaneɛn	méditerranéen.ad
médium	medjɔm	médium.ad
médiumnique	medjɔmnik	médiumnique.ad
médiumnité	medjɔmnite	médiumnité.ad
médius	medjys	médius.ad
médiéval	medjeval	médiéval.ad
médiévale	medjeval	médiéval.ad
médiévisme	medjevism	médiévisme.ad
médiéviste	medjevist	médiéviste.ad
médoc	medɔk	médoc.ad
médullaire	medylɛʀ	médullaire.ad
médulleux	medylø	médulleux.ad
médulleuse	medyløz	médulleux.ad
